language,tot_issues_repo
Ruby,7405.602470368152
JavaScript,6446.848302787453
CSS,5302.763917728475
HTML,4478.135219393515
C++,3413.001464128848
C,2571.02736801242
C#,2509.0176697887046
PHP,2508.4620311609247
Java,1726.136179273793
Python,1614.4055481774624
