language,average_dependency_count,last_updated_year
JavaScript,26.435897435897434,2008
PHP,9.0,2008
Python,9.722222222222225,2008
C,25.000000000000004,2008
Ruby,6.407874015748033,2008
HTML,7.0,2008
Java,8.936170212765958,2008
HTML,31.0,2009
JavaScript,20.18232044198895,2009
Ruby,6.074665515753126,2009
Python,12.640000000000004,2009
Java,15.295336787564766,2009
C,27.765957446808514,2009
C#,25.333333333333332,2009
PHP,41.06666666666666,2009
C++,62.80000000000001,2009
C++,24.629032258064516,2010
C,30.770491803278688,2010
JavaScript,25.02373158756137,2010
CSS,33.666666666666664,2010
Ruby,15.261073146038967,2010
PHP,45.548387096774185,2010
Python,10.009508716323298,2010
Java,13.838466803559207,2010
HTML,32.42857142857143,2010
C#,44.1219512195122,2010
CSS,28.235294117647058,2011
HTML,14.26086956521739,2011
C#,8.019145802650955,2011
JavaScript,20.68394248052726,2011
Python,8.806269149186896,2011
Ruby,27.174750356633368,2011
C,20.10924369747899,2011
Java,12.721354166666671,2011
PHP,69.9055944055944,2011
C++,43.267080745341616,2011
CSS,14.023255813953488,2012
PHP,7.683805989928437,2012
Python,6.465240641711232,2012
Ruby,36.800276985059575,2012
Java,13.259647271631001,2012
C++,13.26148409893993,2012
HTML,28.155172413793103,2012
C#,8.281469115191983,2012
JavaScript,14.366010292178798,2012
C,33.53100775193799,2012
HTML,17.44642857142857,2013
CSS,24.553425357873206,2013
PHP,9.02009306260575,2013
C,52.18363939899834,2013
Java,12.338942126311021,2013
Python,7.8741165340308195,2013
JavaScript,15.49809845603722,2013
C#,8.959959671611696,2013
Ruby,42.40142491645142,2013
C++,10.880452342487887,2013
JavaScript,17.26540389642128,2014
CSS,26.534261732163312,2014
Python,9.834022174112716,2014
HTML,18.199312714776628,2014
PHP,10.543117875524947,2014
Ruby,45.82266222996014,2014
C++,11.800172265288543,2014
Java,12.190022511657828,2014
C#,13.20936170212765,2014
C,24.719424460431654,2014
HTML,21.961842433026103,2015
PHP,18.203274402201192,2015
JavaScript,20.846668578199466,2015
Python,11.688775773417484,2015
C++,37.0938857333779,2015
Java,11.58637323385328,2015
C#,18.30468377877745,2015
Ruby,52.62547824007652,2015
C,26.494454713493532,2015
CSS,26.233031674208167,2015
Ruby,55.72049117017167,2016
Java,12.238042230493622,2016
HTML,23.93699365622154,2016
CSS,25.79066582986253,2016
Python,12.408582064659036,2016
C,34.575888717156104,2016
PHP,25.756365663322185,2016
C#,14.073172895641562,2016
JavaScript,25.431928459012763,2016
C++,13.037906137184114,2016
C,38.18058401639343,2017
CSS,78.19220926926376,2017
Java,12.736211987009161,2017
Python,16.515988962357447,2017
HTML,65.27065941002029,2017
C#,27.414592862756194,2017
JavaScript,104.60217519947749,2017
C++,32.37483521312437,2017
Ruby,60.73715089706924,2017
PHP,53.905666782729824,2017
JavaScript,235.39963316098232,2018
Python,20.474196919135736,2018
CSS,204.96501618345854,2018
C,52.021915584415595,2018
Java,19.329290715832947,2018
C++,49.15557778889444,2018
Ruby,75.75723515355344,2018
C#,40.20285403468356,2018
PHP,93.40880425754463,2018
HTML,122.12608981380056,2018
